,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,0,0,0,0,,9781797145297,Simon & Schuster Audio,"A high school kid inherits a shed that is a portal to another world where good and evil are at war. Read by Seth Numrich and the author. 24 hours, 4 minutes unabridged.",0.00,FAIRY TALE,Stephen King,by Stephen King,,https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg,329,500,https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
1,2,0,0,0,0,0593507533,9780593507537,Random House Audio,"A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show. Read by Miranda Raison, Pandora Sykes and the author. 11 hours, 55 minutes unabridged.",0.00,LESSONS IN CHEMISTRY,Bonnie Garmus,by Bonnie Garmus,,https://storage.googleapis.com/du-prd/books/images/9780385547345.jpg,328,500,https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
2,3,0,0,0,0,,9781797145082,Simon & Schuster Audio,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend. Read by Colin Donnell and Olivia Song. 8 hours, 40 minutes unabridged.",0.00,IT STARTS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781668001226.jpg,322,500,https://www.amazon.com/dp/1668001225?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
3,4,0,0,0,0,0593607457,9780593607459,Random House Audio,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law. Read by Michael Beck. 17 hours, 23 minutes unabridged.",0.00,THE BOYS FROM BILOXI,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg,329,500,https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
4,5,0,0,0,0,,9780063252004,HarperAudio,"A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia. Read by Charlie Thurston. 21 hours, 3 minutes unabridged.",0.00,DEMON COPPERHEAD,Barbara Kingsolver,by Barbara Kingsolver,,https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg,329,500,https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
5,6,0,0,0,0,1508212694,9781508212690,Simon & Schuster Audio,"A battered wife raised in a violent home attempts to halt the cycle of abuse. Read by Olivia Song. 11 hours, 11 minutes unabridged.",0.00,IT ENDS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg,319,495,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
6,7,0,0,0,0,0593591631,9780593591635,Random House Audio,"Two friends find their partnership challenged in the world of video game design. Read by Jennifer Kim and Julian Cihi. 13 hours, 53 minutes unabridged.",0.00,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,by Gabrielle Zevin,,https://storage.googleapis.com/du-prd/books/images/9780593321201.jpg,329,500,https://www.amazon.com/dp/0593321200?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
7,8,0,0,0,0,,DBKADBL052088,Audible Studios,"Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth. Read by Vanessa Johansson and Amy Landon. 8 hours, 10 minutes unabridged.",0.00,VERITY,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg,324,500,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
8,9,0,0,0,0,0593614100,9780593614105,Random House Audio,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush. Read by Carrie Coon, Key Taw and the authors. 15 hours, 13 minutes unabridged.",0.00,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,by Jodi Picoult and Jennifer Finney Boylan,,https://storage.googleapis.com/du-prd/books/images/9781984818386.jpg,328,500,https://www.amazon.com/dp/1984818384?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
9,10,0,0,0,0,1668602679,9781668602676,Hachette Audio,"Ballard and Bosch bury old resentments as they go after two killers. Read by Titus Welliver, Christine Lakin and Peter Giles. 9 hours, 37 minutes unabridged.",0.00,DESERT STAR,Michael Connelly,by Michael Connelly,,https://storage.googleapis.com/du-prd/books/images/9781668602676.jpg,500,500,https://www.amazon.com/dp/1668602687?tag=NYTBSREV-20,,,,,,audio-fiction,"[2023, 1, 1]",January
